"GPU_Unique_ID","Rack_ID","Time_Period","Average_GPU_Temperature","Peak_GPU_Temperature","Average_GPU_Power_Usage","Peak_GPU_Power_Usage","Average_GPU_Memory_Usage","Peak_GPU_Memory_Usage"
3,1,2,70.9,62.6,160.8,230.5,78,91.4
4,1,2,77.6,68.7,170.9,202.5,81.1,85.4
5,1,2,71.7,73.3,153.8,204.8,76.1,86.7
6,2,2,84.8,85.3,157.4,244.7,77.7,87.2
7,2,2,71.1,80.3,176.7,215.9,75.8,88.2
8,2,2,69.7,73.4,156.3,219.1,80.1,95.5
9,2,2,75.6,70.6,158.1,188.8,83.6,81.5
10,2,2,74.2,82.9,220.7,238.3,78.1,90.2
11,3,2,75.6,78.7,191.1,249.1,86.8,91.7
12,3,2,71.1,72.9,205.5,277.3,78.8,92.1
13,3,2,76.6,74.9,150.4,247,79.2,90.7
14,3,2,66.1,86.6,182.4,228.2,85.7,77.2
15,3,2,74.6,79.8,198.9,259.1,88.8,89.6
16,4,2,71.6,75.1,177.7,259.3,71.7,88.8
17,4,2,78.8,71.9,206.5,204.7,84.9,99.7
18,4,2,77,90,174,254.7,70,95.5
19,4,2,73.5,80.6,240.7,247.9,85.7,96.1
20,4,2,76.6,62.6,183,264.5,84.3,90.1
21,5,2,80.7,68.2,183.7,206,75.2,98.3
22,5,2,65.7,64.5,164.6,170.9,82.9,82.6
23,5,2,69.7,64.8,165.6,241.4,71.9,79.3
24,5,2,74.9,73.5,176.7,253.1,83.9,85.9
25,5,2,75.9,60.4,219.5,207.8,80.2,88.8
26,6,2,76,71.3,172.4,240,78,91.4
27,6,2,76,72.6,178.5,227.8,80.4,92.3
28,6,2,84.6,80,196.8,178.3,82.2,88.1
29,6,2,77.1,68,210.3,200.9,83.8,100
30,6,2,73.6,78.8,190.6,184.8,85.1,93.6
31,7,2,71.3,79.6,161.6,264.5,79.3,91.4
32,7,2,69.1,79.8,182.6,196.1,68.2,95.2
33,7,2,77.6,76.1,205.9,217.9,76.5,84.5
34,7,2,64.2,77.2,168.8,237.1,74.9,82.3
35,7,2,82.9,65.9,160,218.1,76.5,100
36,8,2,76.5,80.9,194.8,225.8,80,93.1
37,8,2,74.2,81.3,199.5,175.8,82.4,75
38,8,2,65.6,66.4,186.7,228.4,78.7,95
39,8,2,82,69.3,188.7,257.3,80.1,87.1
40,8,2,79.7,76,200.1,244.4,85.8,92.1
41,9,2,74.8,72.6,186.1,206.1,80,87.1
42,9,2,71.8,77.3,202.1,226.2,74.4,88.1
43,9,2,76.1,71,136.9,238.8,83.2,88.3
44,9,2,84.2,60.6,180.8,168.7,80.4,96.9
45,9,2,84.4,82.3,203.4,221.9,83.9,88.7
46,10,2,81.4,74.3,189.2,216.6,79.4,90.5
47,10,2,85,82.8,127.2,245.1,77.4,95.5
48,10,2,74.5,71.4,188.9,248.7,80.7,99.1
49,10,2,70.7,71.3,180.4,180.6,77.6,89.6
50,10,2,77.3,77.1,170.2,178.8,78.9,96.3
1,1,3,76.1,81.4,150.7,243.6,74.1,89.4
2,1,3,74.7,84.3,164.3,192.4,85.1,87.9
3,1,3,81.4,77.3,138.4,236.3,75.9,94.5
4,1,3,71.4,69.3,148.3,191.6,74,96
5,1,3,80.7,80.7,178.3,243.1,83.6,80.1
6,2,3,75.4,86.7,159.9,202.2,85.1,89.3
7,2,3,84.6,71.7,185.4,252.8,78.8,88.2
8,2,3,67.1,82.3,204.3,215.3,80.2,90.1
9,2,3,73.2,68.8,164.7,209.5,76.2,89.2
10,2,3,69.1,70.3,164.1,252.9,82.9,95.4
11,3,3,76,83.9,172.2,246.1,83.4,84
12,3,3,75.1,77.1,177.2,228.7,80,82.5
13,3,3,75.1,76.9,194.3,213.3,80.2,100
14,3,3,65.7,75.2,165.4,233.4,78.5,94.4
15,3,3,84.5,69.5,179.6,175.7,71.8,94.2
16,4,3,75.3,72.5,202.1,225.3,82.7,86.6
17,4,3,68.4,73.8,158.2,197.8,83.5,94.4
18,4,3,77.7,82.4,174.5,196.7,71.6,89.1
19,4,3,78,78.9,170.5,217,78.1,89.2
20,4,3,74.4,88.6,173.2,231.7,89.9,84.4
21,5,3,79.2,77.1,183,228.8,83.2,92.2
22,5,3,77.6,69.7,191.3,221.9,73.7,80.9
23,5,3,67.8,81.1,176.3,199.2,72.7,89.4
24,5,3,62.1,73.2,185.8,241.5,81,85.3
25,5,3,72.5,73.7,211.4,248.8,84.8,88.2
26,6,3,76,71.6,198.7,217.3,80.1,93
27,6,3,83.9,73.1,172.4,184.1,78.1,82.5
28,6,3,69.2,68.3,166.7,246.3,86.2,87.6
29,6,3,71,74.4,171.8,250.1,86.9,84.7
30,6,3,65.5,69.6,197.4,218.7,82.4,95.6
31,7,3,73.9,75.6,170.9,235.4,91.8,91.3
32,7,3,79.2,67.3,180.8,174.1,80.2,83.2
33,7,3,70.7,68.9,163.2,212.5,75.3,100
34,7,3,72.8,73.4,114.7,250.1,75.3,83.7
35,7,3,79.4,63.2,169.8,200.8,74.3,91.7
36,8,3,70.3,75.8,176.1,241.9,77.4,93.3
37,8,3,81.7,77.1,191.8,192.9,79.9,95.8
38,8,3,72.2,78.7,143.4,186.7,74.2,90.3
39,8,3,77.8,76.6,151.3,225.8,80.9,82.7
40,8,3,62.2,71.5,183.6,191.1,82.1,97.5
41,9,3,74.1,69.7,136.6,203.1,81.1,80.2
42,9,3,73.9,71.4,181,248.5,84.2,92.5
43,9,3,64.6,78.1,231.3,198.6,85.1,94.8
44,9,3,76.9,73.1,195.3,248,81.5,85.1
45,9,3,80.3,78.8,181.6,218.9,80.3,87.3
46,10,3,72.5,72.4,189.4,190.6,76.6,95.1
47,10,3,86.1,75.2,231,252.9,89.8,82.8
48,10,3,81.3,70.7,151.6,234.7,74.9,84.3
49,10,3,71.2,74.4,170.8,219,89.3,87.6
50,10,3,63.9,72.9,236,253.9,83.7,87.7
1,1,4,72.5,67.3,174.1,244.2,82.2,81.2
2,1,4,85.1,68,206.4,201.4,83.2,96.1
3,1,4,76.3,72.8,174,274,74.8,86.9
4,1,4,83.5,61.1,186.1,237.4,87.4,84
5,1,4,74.6,73.1,170.9,240.1,80.9,98.5
6,2,4,70,81.8,172,171,84.9,86.4
7,2,4,68,67,185.1,150.4,72.6,93.9
8,2,4,86.6,77.2,184.2,258.6,75.9,91.7
9,2,4,82.3,64.7,196.8,187.5,71.6,89.7
10,2,4,78.6,74.4,152.4,235.4,84.1,90.2
11,3,4,81.7,79.9,150.5,198.7,82,97.8
12,3,4,73.9,69.1,145.6,242.6,64.5,98.9
13,3,4,81.3,72.7,163.9,182.5,87.3,98.6
14,3,4,81.2,68.1,194.7,228.1,78.9,90.3
15,3,4,70.3,82.2,190,219.6,79.9,89
16,4,4,75.7,71.5,204.6,182.5,72.9,87.6
17,4,4,83.9,75.1,186.2,255.1,76.3,89.4
18,4,4,76.9,80.7,179.4,221.7,89.3,94.1
19,4,4,78.9,80.3,189,202,85.5,86.3
20,4,4,76.1,70.8,185,154.7,79,89.3
21,5,4,81.8,73.3,172.5,225.6,68.7,91.6
22,5,4,65.6,86.7,181.5,220.5,70.6,93.7
23,5,4,85.7,87.1,172.8,252.7,82.5,98.8
24,5,4,79.9,70.1,185.8,226.1,90.6,88.1
25,5,4,68.9,69.5,177.7,228.9,76.4,96.5
26,6,4,72.4,69.1,182.1,221.2,81.2,100
27,6,4,70.9,70.9,163.8,232.6,84.3,88.9
28,6,4,90,70.9,197.9,205.6,85.7,98.2
29,6,4,78.6,80.4,176.1,194.3,82.5,86
30,6,4,64.6,76.3,157.2,243.9,73,99.8
31,7,4,74.1,76.4,179.5,243.7,77.2,99
32,7,4,68,68.7,156.9,233.7,75.6,89.3
33,7,4,76.3,70.1,169.6,236.7,75.2,85
34,7,4,71,76.4,193.6,270.7,80.2,94.9
35,7,4,81,60.5,197.3,209.7,84.3,94.7
36,8,4,67.4,73.6,190.1,229,79.4,91.6
37,8,4,65.8,70.3,169.7,190.9,79.7,91.8
38,8,4,71.2,79.6,152.6,232.3,66.1,88
39,8,4,68.3,79.3,156.3,219.8,78.1,92.6
40,8,4,81.4,66.6,178.5,202.2,88.5,94.5
41,9,4,72.2,75.2,229.1,243.7,78.5,86.7
42,9,4,69.6,73.1,168.6,229,84.4,97.3
43,9,4,72.7,75.2,179.2,166.2,86.9,93
44,9,4,79.4,59.6,182.2,252.1,79,78.4
45,9,4,81.1,64.2,187.8,207.1,87.1,93
46,10,4,71.5,78.6,194.9,182.2,71.4,87.9
47,10,4,78.7,71.4,161,208.4,86.1,91.8
48,10,4,70,69.5,176.8,216.9,80.6,88.8
49,10,4,83.1,71.9,200.6,225.6,87,94.2
50,10,4,81.7,71.8,164.5,234,85.3,89.2
1,1,5,68,87.6,168.7,239.3,81.1,91.5
2,1,5,71.7,89.4,187,269.4,83.9,79.5
3,1,5,79.2,74.7,193.8,199.9,72.5,91.4
4,1,5,79.2,78.3,184.9,192.1,82.7,92.3
5,1,5,74,76.6,189,227,84.3,88
6,2,5,70.1,77.9,187.2,188.6,71.2,81.4
7,2,5,73.9,78.8,169.9,201.7,80.4,90.3
8,2,5,71.9,63,148.3,238.4,67.5,100
9,2,5,75,77.6,217.6,195.8,85.4,100
10,2,5,69.5,79.8,177.5,244.9,89.7,96.7
11,3,5,76.2,77.1,229.1,186.3,87,87.3
12,3,5,70.3,77,211,207.1,76.1,90.7
13,3,5,80.9,80.7,170.9,190.5,79.3,97.2
14,3,5,75.2,81.4,187.3,218.3,88.4,88.9
15,3,5,58.9,75.4,178.4,225.1,75.2,85
16,4,5,84.8,71.7,182,231.1,77.1,91.5
17,4,5,81,78.8,189.8,227.1,77.6,96.6
18,4,5,77.5,76.8,201.8,229.3,85.1,92.6
19,4,5,73.7,69.3,169.7,192.4,87.9,86.5
20,4,5,74.7,81.5,167.7,234.9,78.4,87.4
21,5,5,74.1,59.5,169.8,216.2,85,95.5
22,5,5,77.7,75.3,190,210,80.1,77.1
23,5,5,63.5,68.3,137.9,271.6,80.3,92.6
24,5,5,81.6,61.5,164.3,188,76.6,98.4
25,5,5,75.1,71.4,190.2,225.2,86.8,98.1
26,6,5,82.9,90,169.3,261.7,79.4,87.6
27,6,5,72.2,82.9,164.2,169.7,87.5,76
28,6,5,83.5,90,181.1,231,77.2,76.8
29,6,5,73.6,82.6,171.2,177.6,78,90.9
30,6,5,76,75.6,190.2,206,75.2,95.1
31,7,5,77.6,73.7,143.5,157,81.7,87.6
32,7,5,74.1,75.4,156.7,216.6,65.2,82.4
33,7,5,81.7,72.4,226.7,251.1,68.2,86.1
34,7,5,70.9,82.5,161.4,231.4,73.4,95.9
35,7,5,69,79.5,187.8,209.9,79.9,95.4
36,8,5,77,64.2,193,198.6,78.1,93.7
37,8,5,65.8,69.9,211,172.2,83.9,89
38,8,5,76.9,80,180.9,204.1,79.3,97.2
39,8,5,63.2,81.4,189.3,187.1,88.7,83.7
40,8,5,77.3,74.8,180.9,203.7,80.8,94.6
41,9,5,81.8,71.7,176.1,230.3,77.6,81.5
42,9,5,74.9,81.5,192.6,244.2,84.4,98.5
43,9,5,73.1,68.6,175.8,193.3,81.3,77.9
44,9,5,80.6,73.5,161.2,226.1,83.5,98
45,9,5,72.5,75.2,189.1,180.7,74.4,88.8
46,10,5,81.5,87.1,181.4,256.3,81.3,90.7
47,10,5,85.8,71,175,200.1,80.1,87.6
48,10,5,68.9,75.3,179.2,198,77.8,77.4
49,10,5,73.2,85.1,163.2,226.2,84.3,90.5
50,10,5,75.7,74.6,186.4,213.7,74.7,90.3
1,1,6,73.3,73.9,183.1,243,84.8,92.8
2,1,6,82.6,83,170.2,223.2,73.2,93.3
3,1,6,80.5,74.2,199,226.8,89.4,100
4,1,6,82.1,75.5,148.9,241,84.2,96.2
5,1,6,80.6,75.2,149.4,178.4,81.7,85.4
6,2,6,67.3,73.3,197.3,234.5,79.2,86.6
7,2,6,70.6,79.4,226.3,242.8,70.3,93.8
8,2,6,85.8,75.2,167.8,203.5,76.1,91.6
9,2,6,74.5,75.7,192.9,194,93.6,94.2
10,2,6,73.1,77.2,204.7,256.9,76.9,88
11,3,6,74.5,77.4,170.3,255.3,88.4,93.6
12,3,6,77.2,71.9,168.4,182.5,65.9,96.1
13,3,6,79.3,76.4,187.6,238.8,80.9,87.7
14,3,6,71.5,73.2,177.6,235.2,85.6,88.5
15,3,6,76.4,76.3,171.2,235.2,77.4,100
16,4,6,70.3,77.7,180.8,258,85.1,89.7
17,4,6,85.5,75.4,194.8,253.9,79.3,90.2
18,4,6,76.1,72.6,159.9,232.3,81.3,78.2
19,4,6,76.4,69.6,211,219.8,81.1,89.3
20,4,6,79,73.4,186.3,218.2,78.5,90.9
21,5,6,73.3,72.8,192.6,228.5,79.4,83.7
22,5,6,88.1,80.1,172.2,244.1,76.5,94.4
23,5,6,68.3,76,172.9,196.7,81,88.1
24,5,6,72.5,66.8,227.6,253.6,83.3,89.2
25,5,6,77.9,80.9,157.2,218.3,75.9,84.3
26,6,6,78.2,70.7,181.4,153.9,83.7,82.2
27,6,6,74.9,72.5,167.4,194.1,71.9,91.5
28,6,6,73.8,83,196.9,195.7,80.6,91.3
29,6,6,76.1,67.4,198.2,249.8,83.5,87.4
30,6,6,69.6,80.6,163.7,223.1,87.3,92.9
31,7,6,73.2,72.1,187.7,185.3,73.4,91.5
32,7,6,77.2,87.2,160.3,209,78,89.7
33,7,6,78.3,69.1,196.5,199.5,89.6,99.5
34,7,6,67.3,74.3,214.4,181.9,86,87.9
35,7,6,84.1,74.9,181.5,239.2,80.7,88.4
36,8,6,70.5,73.5,205.2,211.6,76.7,93.6
37,8,6,70.9,70.4,196.4,230.8,81,90.5
38,8,6,73.6,71.1,197.5,213.9,79.2,82.3
39,8,6,76.5,73.1,207.4,228.4,78.5,93
40,8,6,70.8,78.7,202.8,177.5,78,84.8
41,9,6,73.7,72.4,142.1,252.6,75.6,87.2
42,9,6,80.2,76,193.6,229.5,83.9,82.9
43,9,6,73.1,65.4,185.4,217.1,82.8,81.1
44,9,6,81.8,77.3,182.4,171.4,83.3,85.5
45,9,6,71.7,83.6,190.7,171.4,90.7,95.9
46,10,6,80.6,78.4,188.6,234.7,85.2,87
47,10,6,68.4,79.3,179.2,239.6,75.1,100
48,10,6,74,72.1,205.1,213.2,86.8,94.4
49,10,6,76.8,76.4,183.6,221.3,77.5,82.2
50,10,6,68.3,75.5,197.6,236,82.2,82.5
1,1,7,69.9,66.6,190.1,275,72.2,88.2
2,1,7,79.2,80,154.8,209.2,75.4,82.9
3,1,7,72,62.7,189.8,240.3,82.4,92.8
4,1,7,67.6,72.7,191.9,217.6,77.6,94.8
5,1,7,77.3,75,185.2,231.9,79.5,89.5
6,2,7,64.2,79,180.2,214.9,79.4,95.6
7,2,7,80.1,82,173.4,227.7,75.9,81.4
8,2,7,72.2,74.7,192.2,222.5,77.3,98.2
9,2,7,79.1,74.8,156.5,242.4,87.5,84.2
10,2,7,72.4,77,161.2,228.5,80.6,90.9
11,3,7,76.9,82.7,227.8,218.6,81.6,79
12,3,7,71.3,73.6,183.9,208,75.2,100
13,3,7,85.8,69.3,200.9,208.6,76.6,77.2
14,3,7,70.7,77.9,171.5,206.4,84.1,90.4
15,3,7,74.8,76.8,193.3,193.8,85.7,100
16,4,7,79.6,77.4,221,207.1,78,99.2
17,4,7,67.7,76.3,177.6,171.5,74.1,92
18,4,7,67.1,75.3,147.3,211.4,75.7,84.3
19,4,7,68.1,83,172.5,208.4,80.5,80.1
20,4,7,76.1,73.3,209.5,240.3,83.6,93.7
21,5,7,81.1,84.4,139.2,228,78.3,84.5
22,5,7,76.2,65.3,166.5,209,81.9,93.7
23,5,7,73.1,66.3,138.5,197.8,74.2,87.3
24,5,7,73.2,84,184.2,236.1,71.3,79.2
25,5,7,74.1,87.1,191.7,178.8,83.8,85.3
26,6,7,69.9,83,184.8,213.2,73.1,93.8
27,6,7,68.1,74.7,167.2,268.9,80.7,93.2
28,6,7,81.7,68.6,187.1,204.1,78.6,100
29,6,7,72.4,72.9,179.3,258.4,67.3,86.8
30,6,7,64,78.7,185.5,265.4,86.3,84.4
31,7,7,81.6,85.2,179,226.9,81.8,89.4
32,7,7,79.7,85.6,179,224.5,82,96.4
33,7,7,82.5,81.9,180.6,221.6,85.3,83.5
34,7,7,77.9,73.8,175.3,192.6,81.4,91.8
35,7,7,70.8,79.2,196.2,190.3,79.6,87.2
36,8,7,85.8,69.8,164.6,206.2,86.1,83
37,8,7,69.8,76.9,146.6,225.8,77.8,100
38,8,7,90,72.8,184.2,242.7,72.1,100
39,8,7,70.7,74.5,197.8,217.7,80,89.5
40,8,7,75,77,164,214.6,67.4,84.2
41,9,7,77.8,76.7,200.9,167,80.3,84.5
42,9,7,73.1,78,163.4,223.2,73.1,97.6
43,9,7,75.2,82.6,162.1,196.4,82.8,86.7
44,9,7,71,71.7,161.7,246.7,90.1,89.3
45,9,7,69.8,85.7,158.5,216.5,72.3,87.2
46,10,7,81.6,67.7,168.9,228.7,82.1,82.5
47,10,7,75.9,72.2,172,265.2,79.9,82.5
48,10,7,74.3,79.1,170.6,238,76.2,83.2
49,10,7,77.4,75.7,154.9,237.5,82.7,87.4
50,10,7,76.6,80.6,157.3,205.6,77.6,92.9
1,1,8,75.8,68.7,185.2,289.1,82.7,87.5
2,1,8,88.1,72.3,186.3,232.8,90.2,95.7
3,1,8,76.6,74.5,177.3,216.2,80.5,77.8
4,1,8,75.5,80.4,139.3,230.2,87.5,77.1
5,1,8,73.6,69.1,199.6,284.5,77.8,86.3
6,2,8,72.7,71.3,189.4,221.3,71.4,91.5
7,2,8,81.7,78.6,148,213.5,78.8,91.8
8,2,8,77.6,68.9,185.6,198.6,81.7,84.7
9,2,8,88.8,75.9,165.9,180.5,80.8,93.6
10,2,8,75.9,61.3,192.3,218.9,94.6,86.2
11,3,8,70.7,81.7,161.3,226.4,80.4,85.2
12,3,8,81.8,72,212.4,249.5,82.4,82.7
13,3,8,68.5,72.8,170.4,224.8,85.2,80.9
14,3,8,59.5,85.5,195.7,252.8,73.5,94.6
15,3,8,67.2,74.4,226.7,243.3,87.7,89.9
16,4,8,71.4,75.4,171.1,283.6,79.6,89.8
17,4,8,81.3,67.4,183.2,203.3,77.1,88.4
18,4,8,63,68.8,195.5,269,83,86.8
19,4,8,87.2,79.4,189.3,244.4,87.7,89.3
20,4,8,84.2,74.2,161.1,214,78.7,96
21,5,8,70.9,72.9,206.2,207.7,79.7,89.6
22,5,8,77.9,61.9,200.5,254.9,80.3,92
23,5,8,74.6,72,150.1,241.3,81.4,97.1
24,5,8,77.4,68.3,189.6,235.6,93.5,85.1
25,5,8,73.5,73,168.7,289,76.5,88.3
26,6,8,76.7,67.7,213.8,215.1,77.3,81.4
27,6,8,76.2,71.4,198.4,218,75.1,96.4
28,6,8,74.5,71.9,171.1,275.3,76.1,86.5
29,6,8,89.6,74.1,175.2,252.8,76.8,98.9
30,6,8,74.4,77.1,213.5,224.1,72.5,90.9
31,7,8,68.7,72.7,199.8,164.3,81.3,98.2
32,7,8,79.1,72.9,178.2,193.3,76.8,89.8
33,7,8,75.5,69.7,171.2,205,75.2,91.3
34,7,8,76.3,72.9,182.5,208.4,78.3,87.9
35,7,8,84,80.3,201.6,204.2,78.8,92.6
36,8,8,78.3,67.1,187,208.9,69.6,90
37,8,8,65.9,79.6,166.4,175.6,83.5,87
38,8,8,83,66.1,167.7,194.8,82.6,97.6
39,8,8,83.2,74.5,195.1,236.2,83.4,96.9
40,8,8,78.8,66.6,159.6,226,75.4,97.9
41,9,8,75.7,78.9,204.6,216.5,75.4,85.7
42,9,8,79.3,81.1,148.6,166.4,81.8,95.3
43,9,8,77.4,84.3,180.6,227,86.4,88
44,9,8,70.3,74.8,139.6,243.1,83.7,84.7
45,9,8,84.8,89.8,187.7,175.2,76.8,90.8
46,10,8,73.4,68,136.5,179.5,81.7,100
47,10,8,83.7,65.7,167.4,222.4,80.2,69.9
48,10,8,75,82.7,169.1,263.4,80.5,90
49,10,8,77.7,85,187.5,210.6,71.9,89
50,10,8,80.7,75.4,188.5,219.8,81.5,88
1,1,9,75.2,63,192.3,208.8,81.6,100
2,1,9,82.6,85,172.1,184.5,77.4,89
3,1,9,59.8,85.8,241.4,210.4,86.9,94.6
4,1,9,84.7,75.1,164.7,180.7,77.1,98.2
5,1,9,76.1,75.9,162.1,182.9,89.3,93.2
6,2,9,72.1,63,178,210,78.7,88.4
7,2,9,60.2,74.7,169,257.4,74.2,92.2
8,2,9,78.1,72.8,171.1,154.2,77.2,93.9
9,2,9,78.3,72.5,222.2,226.7,82,79.5
10,2,9,72.6,72.5,174.4,233.2,82.3,79.6
11,3,9,86.3,76.5,190.8,231.4,78.7,98.6
12,3,9,72.9,75.4,193,246.9,85.8,83.2
13,3,9,72,71.2,182.5,257.5,76.2,100
14,3,9,76.6,79.8,214.9,231.1,86.7,91.9
15,3,9,75.8,78.9,180.1,208.9,73.9,82.3
16,4,9,73.3,64,156.4,226.1,79,85.6
17,4,9,75.6,73.9,160.5,168.5,77.6,71.9
18,4,9,67.1,79.9,179.4,231.8,71.9,94.9
19,4,9,73.4,73.2,195,229.6,75.9,100
20,4,9,72.5,60.4,170.5,190.6,81.5,91.3
21,5,9,80.4,84.3,182.2,216.1,73.4,100
22,5,9,79.4,80.8,182.2,210.3,88.7,89.7
23,5,9,71.2,78.8,184,217.1,91.9,93.5
24,5,9,76.5,74.9,153.4,240.1,75.9,93
25,5,9,73.6,75.3,177.1,203.5,86.6,84.1
26,6,9,81.6,83.4,200.5,239.6,81.3,88.1
27,6,9,76.7,73.5,193.6,213.5,85.5,85.6
28,6,9,86.9,74.3,183.9,268.7,77.7,85.4
29,6,9,64.4,75.9,120.3,207.5,80.4,84.6
30,6,9,78,81.1,153.7,201.9,84.1,93.7
31,7,9,74.7,89.7,159,211.5,72.6,86.8
32,7,9,78.3,70.6,222.6,191.6,79.9,83.3
33,7,9,76.6,74.3,169.9,226.9,79.4,80.1
34,7,9,78.1,73.8,199.1,240.4,86.3,84.5
35,7,9,74.8,71.3,148.6,240.3,81,97.7
36,8,9,58.6,68.4,153.9,214.8,79.9,94.3
37,8,9,77.4,67.3,212.4,260.2,78.2,78.9
38,8,9,63,74.9,175.8,197.8,85,96.9
39,8,9,70.1,74.7,148.8,195.8,83.5,92.6
40,8,9,77.1,77.5,173.8,218.9,71.2,91.4
41,9,9,65.6,72.5,195.5,209.9,82.4,87.9
42,9,9,74.4,73.5,191.2,245.2,74,97.4
43,9,9,82.2,82.4,188.7,227.8,80.7,92.5
44,9,9,81.5,77,162.1,252.4,91.7,93.4
45,9,9,62.7,71.7,196.8,217.3,82.3,90.1
46,10,9,81.9,75.2,198.7,150,76.5,87.6
47,10,9,73.2,75.3,181.1,242.3,82.5,91.1
48,10,9,88.9,70.9,196.8,226.5,83.4,90.5
49,10,9,66,84.1,186.3,225.9,84.8,93
50,10,9,78.5,74.2,199.1,199.6,75.4,100
1,1,10,73,73.8,183.2,176.8,77.6,96.1
2,1,10,79.6,76.1,194.5,209.5,85.7,93.5
3,1,10,72.9,86.1,199.2,228.7,74.9,78.4
4,1,10,69.8,78.5,213,219.2,81,81.7
5,1,10,67,77.7,195.5,205.3,78.4,99.9
6,2,10,83.5,82.3,186.9,216.7,75.4,89.4
7,2,10,71.5,84.1,199.2,210.5,81.5,93.7
8,2,10,67.9,85.3,161.1,202.6,85.9,83.3
9,2,10,82,85.6,170.8,210,94.2,93.4
10,2,10,67.2,73.9,140.7,231.7,88.1,91.9
11,3,10,86.2,87.3,167.1,176.3,80.5,84.7
12,3,10,72.8,77.6,181.2,199.2,81.3,94.8
13,3,10,80.8,67.4,148.9,249,79.9,87.5
14,3,10,74.1,66,209.4,208.4,83.8,81.6
15,3,10,67.6,86.5,112,239.3,82.9,99.5
16,4,10,74.7,68.3,204.8,226.3,79.1,78.5
17,4,10,63.5,74.4,198.8,234.2,75.5,87
18,4,10,82.5,78.8,187.1,191.8,85.1,87.8
19,4,10,74.4,78.6,169.3,194.4,84,76.9
20,4,10,80.2,90,168.7,208.4,75,100
21,5,10,70.2,70.9,197.1,234.1,76.7,93.1
22,5,10,70.2,75.6,193.5,220.9,88.1,91.2
23,5,10,66.9,66.3,186.7,243.8,86.6,85.1
24,5,10,74.9,73,175.3,222.9,73.6,83.7
25,5,10,80.9,64.5,163.3,216,79.9,83.5
26,6,10,73.4,77,171.6,195.6,80.2,93.6
27,6,10,67.8,76.8,178.5,217.1,80,80.3
28,6,10,71.4,70.5,169,200.5,80.3,94.2
29,6,10,78.8,67.4,182.6,249.6,90.4,100
